m_x,sd_x,label
247.0,38.774647,A
240.45,42.996296,A
237.4,42.65824,A
233.75,55.440704,A
245.15,28.968723,A
240.5,41.21765,A
246.85,57.04594,A
240.8,41.793476,A
237.7,22.148067,A
247.5,11.971457,A
221.8,63.139446,B
217.2,58.94207,B
237.15,41.605003,B
239.05,38.328876,B
242.6,45.041965,B
232.5,38.479668,B
229.45,43.1222,B
229.6,49.78628,B
221.8,49.803402,B
225.55,47.795044,B
232.3,138.3246,C
239.5,145.02794,C
227.95,163.11523,C
240.75,158.8279,C
244.1,152.11281,C
241.05,154.19075,C
243.55,159.28407,C
228.0,162.7287,C
232.35,150.38312,C
228.65,167.2802,C
